"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-22","4,523.20","4,544.20","4,547.00","4,488.00","106.23K","-0.42%"
"2026-5-21","4,542.50","4,548.00","4,572.40","4,488.30","153.24K","0.16%"
"2026-5-20","4,535.30","4,486.60","4,558.40","4,455.00","152.27K","0.53%"
"2026-5-19","4,511.20","4,570.60","4,593.20","4,467.10","140.96K","-1.03%"
"2026-5-18","4,558.00","4,547.60","4,588.60","4,483.50","151.97K","-0.09%"
"2026-5-15","4,561.90","4,654.50","4,670.10","4,513.80","169.76K","-2.63%"
"2026-5-14","4,685.30","4,696.80","4,725.80","4,649.30","102.97K","-0.45%"
"2026-5-13","4,706.70","4,722.30","4,734.80","4,676.00","120.05K","0.43%"
"2026-5-12","4,686.70","4,745.30","4,783.40","4,645.20","146.32K","-0.89%"
"2026-5-11","4,728.70","4,690.00","4,758.40","4,655.10","147.40K","-0.04%"
"2026-5-8","4,730.70","4,682.50","4,760.40","4,671.00","122.01K","0.42%"
"2026-5-7","4,710.90","4,702.20","4,775.20","4,693.30","159.53K","0.35%"
"2026-5-6","4,694.30","4,569.30","4,734.60","4,556.10","160.44K","2.75%"
"2026-5-5","4,568.50","4,534.00","4,597.50","4,522.70","88.28K","0.78%"
"2026-5-4","4,533.30","4,644.00","4,650.60","4,510.10","117.01K","-2.39%"
"2026-5-1","4,644.50","4,636.90","4,673.00","4,570.00","93.23K","0.32%"
"2026-4-30","4,629.60","4,557.00","4,658.80","4,550.80","119.64K","1.49%"
"2026-4-29","4,561.50","4,611.40","4,624.30","4,522.20","126.42K","-0.66%"
"2026-4-28","4,592.00","4,682.50","4,698.40","4,555.50","2.66K","-1.82%"
"2026-4-27","4,676.90","4,692.50","4,728.30","4,664.80","2.58K","-1.35%"
"2026-4-24","4,740.90","4,715.60","4,757.10","4,672.20","103.22K","0.36%"
"2026-4-23","4,724.00","4,759.20","4,771.30","4,680.10","153.54K","-0.61%"
"2026-4-22","4,753.00","4,738.70","4,790.80","4,733.10","100.06K","0.71%"
"2026-4-21","4,719.60","4,842.40","4,854.80","4,685.80","177.09K","-2.26%"
"2026-4-20","4,828.80","4,811.80","4,847.90","4,752.00","123.21K","-1.04%"
"2026-4-17","4,879.60","4,811.80","4,917.70","4,785.90","135.44K","1.48%"
"2026-4-16","4,808.30","4,813.60","4,861.30","4,792.10","108.86K","-0.32%"
"2026-4-15","4,823.60","4,862.70","4,895.40","4,807.90","106.71K","-0.55%"
"2026-4-14","4,850.10","4,769.30","4,870.30","4,767.60","129.59K","1.73%"
"2026-4-13","4,767.40","4,710.00","4,774.40","4,626.00","127.32K","-0.42%"
"2026-4-10","4,787.40","4,790.50","4,820.00","4,752.70","121.57K","-0.64%"
