"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-17","4,509.38","4,531.42","4,589.76","4,453.12","","-0.68%"
"2026-5-10","4,540.07","4,683.79","4,773.83","4,511.62","","-3.71%"
"2026-5-3","4,714.89","4,623.02","4,765.17","4,500.85","","2.17%"
"2026-4-26","4,614.95","4,699.05","4,730.18","4,509.96","","-2.00%"
"2026-4-19","4,709.25","4,792.93","4,833.34","4,657.64","","-2.51%"
"2026-4-12","4,830.43","4,686.91","4,889.70","4,644.20","","1.73%"
"2026-4-5","4,748.18","4,653.83","4,856.30","4,601.08","","1.53%"
"2026-3-29","4,676.42","4,493.00","4,801.00","4,419.81","","4.08%"
"2026-3-22","4,492.99","4,491.66","4,602.64","4,098.87","","0.04%"
"2026-3-15","4,491.15","5,019.26","5,044.84","4,477.82","","-10.52%"
"2026-3-8","5,019.25","5,180.45","5,238.70","5,009.51","","-2.94%"
"2026-3-1","5,171.12","5,376.69","5,419.25","4,996.19","","-2.02%"
"2026-2-22","5,277.90","5,102.84","5,279.56","5,094.50","","3.40%"
"2026-2-15","5,104.34","5,040.75","5,105.45","4,842.50","","1.21%"
"2026-2-8","5,043.11","4,960.97","5,119.24","4,879.05","","1.65%"
"2026-2-1","4,961.15","4,799.72","5,092.68","4,404.12","","1.97%"
"2026-1-25","4,865.35","5,007.11","5,595.46","4,681.94","","-2.36%"
"2026-1-18","4,982.91","4,630.80","4,989.93","4,629.80","","8.44%"
"2026-1-11","4,595.10","4,519.45","4,643.06","4,513.57","","1.88%"
"2026-1-4","4,510.45","4,356.12","4,517.40","4,345.88","","4.16%"
"2025-12-28","4,330.50","4,540.70","4,550.10","4,274.51","","-4.46%"
"2025-12-21","4,532.63","4,338.98","4,550.11","4,337.90","","4.47%"
"2025-12-14","4,338.55","4,299.00","4,374.69","4,271.34","","0.84%"
"2025-12-7","4,302.43","4,197.19","4,353.72","4,170.00","","2.51%"
"2025-11-30","4,197.13","4,223.93","4,264.74","4,163.01","","-0.79%"
"2025-11-23","4,230.63","4,066.47","4,231.51","4,040.03","","4.05%"
"2025-11-16","4,065.90","4,082.02","4,133.04","3,997.99","","-0.34%"
"2025-11-9","4,079.58","3,999.94","4,245.20","3,997.87","","2.00%"
"2025-11-2","3,999.72","4,002.28","4,030.70","3,928.66","","-0.06%"
"2025-10-26","4,002.28","4,065.35","4,109.33","3,886.49","","-2.67%"
"2025-10-19","4,112.10","4,251.82","4,381.60","4,004.69","","-3.24%"
"2025-10-12","4,249.98","4,018.79","4,379.44","4,008.80","","5.77%"
"2025-10-5","4,018.30","3,888.45","4,059.34","3,883.93","","3.38%"
"2025-9-28","3,886.83","3,758.59","3,897.20","3,757.62","","3.37%"
"2025-9-21","3,760.24","3,686.80","3,791.11","3,683.62","","2.04%"
"2025-9-14","3,684.98","3,644.40","3,707.70","3,626.60","","1.15%"
"2025-9-7","3,643.13","3,586.82","3,674.75","3,579.67","","1.57%"
"2025-8-31","3,586.81","3,448.00","3,600.33","3,436.80","","4.03%"
"2025-8-24","3,448.00","3,371.23","3,454.08","3,351.26","","2.25%"
"2025-8-17","3,372.11","3,338.00","3,379.01","3,311.46","","1.10%"
"2025-8-10","3,335.39","3,398.50","3,405.10","3,329.85","","-1.87%"
"2025-8-3","3,398.78","3,365.10","3,408.83","3,345.00","","1.07%"
"2025-7-27","3,362.88","3,335.00","3,363.55","3,268.15","","0.77%"
"2025-7-20","3,337.18","3,348.62","3,439.09","3,325.05","","-0.39%"
"2025-7-13","3,350.40","3,355.91","3,377.50","3,309.90","","-0.16%"
"2025-7-6","3,355.91","3,335.95","3,368.89","3,282.80","","0.58%"
"2025-6-29","3,336.64","3,272.65","3,365.81","3,247.86","","1.91%"
"2025-6-22","3,274.25","3,367.17","3,399.25","3,255.72","","-2.79%"
"2025-6-15","3,368.23","3,431.54","3,451.62","3,340.38","","-1.88%"
"2025-6-8","3,432.64","3,311.51","3,447.02","3,293.70","","3.70%"
"2025-6-1","3,310.17","3,289.80","3,403.55","3,289.41","","0.63%"
"2025-5-25","3,289.40","3,354.30","3,357.03","3,245.55","","-2.03%"
"2025-5-18","3,357.42","3,214.60","3,366.39","3,204.40","","4.83%"
"2025-5-11","3,202.77","3,324.98","3,325.42","3,120.52","","-3.67%"
"2025-5-4","3,324.63","3,240.00","3,438.59","3,237.81","","2.58%"
"2025-4-27","3,240.88","3,328.40","3,353.33","3,202.09","","-2.37%"
"2025-4-20","3,319.45","3,334.41","3,500.33","3,260.50","","-0.25%"
