"日期","收市","開市","高","低","升跌（%）"
"2026-01-05","18,621","18,580","18,658","18,580","-0.42%"
"2026-01-06","19,575","19,575","19,575","19,575","5.12%"
"2026-01-07","19,647","19,965","19,965","19,500","0.37%"
"2026-01-08","18,600","18,600","18,600","18,600","-5.33%"
"2026-01-15","20,250","20,200","20,300","20,200","8.87%"
"2026-01-16","22,275","22,275","22,275","22,275","10.00%"
"2026-01-19","23,376","23,195","23,440","23,185","4.94%"
"2026-01-20","23,265","23,120","23,550","23,120","-0.47%"
"2026-01-21","23,545","23,550","23,550","23,355","1.20%"
"2026-01-22","22,958","23,150","23,440","22,880","-2.49%"
"2026-01-23","25,184","25,253","25,253","25,120","9.67%"
"2026-01-26","27,602","27,580","27,610","27,580","9.60%"
"2026-01-27","29,080","29,080","29,080","29,080","5.35%"
"2026-01-28","30,084","30,184","30,450","29,585","3.45%"
"2026-01-29","31,100","31,100","31,100","31,100","3.38%"
"2026-01-30","32,000","32,000","32,000","32,000","2.89%"
"2026-02-04","29,120","29,120","29,120","29,120","-9.00%"
"2026-02-05","26,300","26,300","26,300","26,300","-9.68%"
"2026-02-10","23,670","23,670","23,670","23,670","-10.00%"
"2026-02-11","22,146","22,146","22,146","22,146","-6.44%"
"2026-02-12","22,025","22,025","22,025","22,025","-0.55%"
"2026-02-13","19,822","19,822","19,822","19,822","-10.00%"
"2026-02-27","21,804","21,804","21,804","21,804","10.00%"
"2026-03-02","23,984","23,984","23,984","23,984","10.00%"
"2026-03-03","24,381","24,850","24,850","22,543","1.66%"
"2026-03-04","22,508","22,508","22,508","22,508","-7.68%"
"2026-03-05","22,151","22,600","22,600","21,588","-1.59%"
"2026-03-06","21,853","22,100","22,450","21,730","-1.35%"
"2026-03-09","22,190","22,190","22,190","22,190","1.54%"
"2026-03-10","23,530","23,530","23,530","23,530","6.04%"
"2026-03-11","23,030","22,990","23,150","22,990","-2.12%"
"2026-03-12","22,445","22,450","22,590","22,330","-2.54%"
"2026-03-13","21,817","21,720","21,880","21,720","-2.80%"
"2026-03-16","20,711","20,660","20,780","20,660","-5.07%"
"2026-03-17","20,780","20,700","20,860","20,700","0.33%"
"2026-03-18","20,249","20,249","20,249","20,249","-2.56%"
"2026-03-19","18,598","19,010","19,140","18,224","-8.15%"
"2026-03-20","18,148","18,450","18,450","17,860","-2.42%"
"2026-03-23","16,484","16,550","16,550","16,333","-9.17%"
"2026-03-24","17,164","16,740","17,480","16,740","4.13%"
"2026-03-25","18,384","18,372","18,400","18,372","7.11%"
"2026-03-26","17,700","17,650","17,750","17,650","-3.72%"
"2026-03-27","17,749","17,815","17,815","17,575","0.28%"
"2026-03-30","17,885","17,825","17,980","17,818","0.77%"
"2026-03-31","18,303","18,330","18,330","18,250","2.34%"
"2026-04-01","18,932","18,925","18,961","18,925","3.44%"
"2026-04-02","17,740","17,740","17,740","17,740","-6.30%"
"2026-04-03","18,036","18,045","18,045","18,000","1.67%"
"2026-04-07","18,050","18,000","18,059","17,950","0.08%"
"2026-04-08","19,096","19,100","19,100","19,030","5.80%"
"2026-04-09","18,316","18,260","18,320","18,260","-4.08%"
"2026-04-10","18,670","18,670","18,670","18,670","1.93%"
"2026-04-13","18,514","18,750","18,750","18,354","-0.84%"
"2026-04-14","19,080","19,080","19,080","19,080","3.06%"
"2026-04-15","19,700","19,700","19,700","19,700","3.25%"
"2026-04-16","19,995","19,990","20,000","19,990","1.50%"
"2026-04-17","19,617","19,595","19,635","19,595","-1.89%"
"2026-04-20","19,907","19,907","19,907","19,907","1.48%"
"2026-04-21","19,735","19,741","19,750","19,705","-0.86%"
"2026-04-22","19,580","19,580","19,580","19,580","-0.79%"
"2026-04-23","18,988","18,990","18,990","18,985","-3.02%"
"2026-04-24","18,501","18,720","18,720","18,485","-2.56%"
"2026-04-27","18,854","18,860","18,860","18,850","1.91%"
"2026-04-28","18,285","18,300","18,300","18,058","-3.02%"
"2026-04-29","18,174","18,200","18,200","18,135","-0.61%"
"2026-04-30","18,067","18,079","18,079","18,065","-0.59%"
"2026-05-07","19,500","19,500","19,500","19,500","7.93%"
"2026-05-08","19,795","19,800","19,830","19,785","1.51%"
"2026-05-11","19,905","19,905","19,905","19,905","0.56%"
"2026-05-12","20,775","20,840","20,840","20,710","4.37%"
"2026-05-13","21,300","21,300","21,300","21,300","2.53%"
"2026-05-14","21,408","21,416","21,416","21,400","0.51%"
"2026-05-15","19,293","19,300","19,300","19,289","-9.88%"
"2026-05-18","18,524","18,435","18,620","18,435","-3.99%"
"2026-05-19","18,685","18,685","18,685","18,685","0.87%"
"2026-05-20","18,300","18,300","18,300","18,300","-2.06%"
"2026-05-21","18,814","18,866","18,866","18,345","2.81%"
"2026-05-22","18,705","18,705","18,705","18,705","-0.58%"
