"日期","收市","開市","高","低","升跌（%）"
"2026-01-04","18,600","18,580","19,965","18,580","-0.53%"
"2026-01-11","22,275","20,200","22,275","20,200","19.76%"
"2026-01-18","25,184","23,195","25,253","22,880","13.06%"
"2026-01-25","32,000","27,580","32,000","27,580","27.06%"
"2026-02-01","26,300","29,120","29,120","26,300","-17.81%"
"2026-02-08","19,822","23,670","23,670","19,822","-24.63%"
"2026-02-22","21,804","21,804","21,804","21,804","10.00%"
"2026-03-01","21,853","23,984","24,850","21,588","0.22%"
"2026-03-08","21,817","22,190","23,530","21,720","-0.16%"
"2026-03-15","18,148","20,660","20,860","17,860","-16.82%"
"2026-03-22","17,749","16,550","18,400","16,333","-2.20%"
"2026-03-29","18,036","17,825","18,961","17,740","1.62%"
"2026-04-05","18,670","18,000","19,100","17,950","3.52%"
"2026-04-12","19,617","18,750","20,000","18,354","5.07%"
"2026-04-19","18,501","19,907","19,907","18,485","-5.69%"
"2026-04-26","18,067","18,860","18,860","18,058","-2.35%"
"2026-05-03","19,795","19,500","19,830","19,500","9.56%"
"2026-05-10","19,293","19,905","21,416","19,289","-2.54%"
"2026-05-17","18,705","18,435","18,866","18,300","-3.05%"
