"日期","收市","開市","高","低","升跌（%）"
"2026-01-05","18,319","17,850","18,338","17,850","3.02%"
"2026-01-06","19,495","18,180","19,700","18,105","7.12%"
"2026-01-07","19,365","19,465","20,209","19,051","0.63%"
"2026-01-08","18,338","19,206","19,420","18,330","-6.14%"
"2026-01-09","18,759","18,245","18,872","17,830","-1.69%"
"2026-01-12","20,902","18,920","20,997","18,760","12.62%"
"2026-01-13","21,048","20,650","21,480","20,650","3.63%"
"2026-01-14","22,765","21,125","23,089","21,125","8.10%"
"2026-01-15","22,684","22,749","23,665","21,600","1.53%"
"2026-01-16","22,641","22,900","23,110","22,040","0.16%"
"2026-01-19","23,136","22,702","23,535","21,525","1.89%"
"2026-01-20","23,149","23,100","23,574","22,831","1.95%"
"2026-01-21","23,228","23,598","23,700","22,760","0.40%"
"2026-01-22","23,366","23,220","23,404","22,500","1.36%"
"2026-01-23","24,988","23,203","25,080","23,120","8.46%"
"2026-01-26","27,513","24,888","27,766","24,888","11.51%"
"2026-01-27","28,732","27,800","30,091","27,311","6.59%"
"2026-01-28","29,310","28,881","29,600","27,195","3.95%"
"2026-01-29","29,998","29,018","30,280","28,750","3.37%"
"2026-01-30","27,530","30,179","31,000","27,151","-7.61%"
"2026-02-02","23,420","26,671","26,780","23,420","-19.00%"
"2026-02-03","21,600","21,122","21,850","19,500","-13.96%"
"2026-02-04","23,560","21,550","23,561","21,550","12.65%"
"2026-02-05","19,885","23,493","23,968","18,000","-11.40%"
"2026-02-06","18,197","19,700","19,700","17,000","-11.40%"
"2026-02-09","19,503","18,500","20,100","17,829","7.58%"
"2026-02-10","19,268","19,260","19,720","18,986","0.50%"
"2026-02-11","19,899","19,370","20,000","19,195","3.10%"
"2026-02-12","19,670","20,559","20,600","19,400","0.31%"
"2026-02-13","19,270","19,722","19,850","18,005","-3.26%"
"2026-02-24","21,486","21,970","22,000","20,768","13.97%"
"2026-02-25","22,131","21,499","22,400","21,123","3.60%"
"2026-02-26","21,600","22,165","22,418","21,570","-1.13%"
"2026-02-27","22,369","21,280","22,418","21,015","2.09%"
"2026-03-02","23,952","22,150","24,000","22,150","8.65%"
"2026-03-03","21,427","23,766","23,900","20,700","-8.78%"
"2026-03-04","21,561","20,301","21,680","20,022","-3.16%"
"2026-03-05","21,068","21,820","21,935","20,400","-0.69%"
"2026-03-06","21,350","21,370","21,427","20,719","0.77%"
"2026-03-09","21,290","21,000","21,564","20,300","0.40%"
"2026-03-10","22,290","21,300","22,575","21,185","5.62%"
"2026-03-11","21,999","22,270","22,530","21,923","-1.18%"
"2026-03-12","21,851","21,750","22,000","21,341","-1.64%"
"2026-03-13","20,887","21,950","22,200","20,753","-3.25%"
"2026-03-16","20,077","21,150","21,334","19,800","-5.83%"
"2026-03-17","20,330","20,010","20,709","20,010","0.57%"
"2026-03-18","19,966","20,110","20,378","19,559","-2.15%"
"2026-03-19","17,990","19,716","19,716","17,636","-9.45%"
"2026-03-20","17,780","17,505","18,550","16,119","-5.53%"
"2026-03-23","15,269","17,877","17,895","15,060","-14.46%"
"2026-03-24","17,166","16,200","17,479","16,180","5.27%"
"2026-03-25","18,121","17,299","18,508","16,740","8.79%"
"2026-03-26","17,292","18,144","18,200","17,228","-4.02%"
"2026-03-27","17,467","16,830","17,650","16,800","-1.46%"
"2026-03-30","17,560","17,080","17,940","16,956","1.57%"
"2026-03-31","18,031","17,860","18,508","17,559","2.92%"
"2026-04-01","18,663","18,299","19,038","18,101","3.03%"
"2026-04-02","17,680","18,786","18,916","17,304","-5.23%"
"2026-04-03","17,803","17,619","18,280","17,270","-0.30%"
"2026-04-07","17,820","17,849","18,150","17,688","-0.49%"
"2026-04-08","18,854","17,848","19,015","17,280","5.24%"
"2026-04-09","18,130","18,947","19,014","17,961","-3.15%"
"2026-04-10","18,560","18,350","18,802","18,211","1.58%"
"2026-04-13","18,379","18,560","18,900","18,279","-0.99%"
"2026-04-14","19,148","18,379","19,220","18,228","3.80%"
"2026-04-15","19,560","19,150","20,061","19,070","3.94%"
"2026-04-16","19,853","19,556","20,000","19,409","0.90%"
"2026-04-17","19,588","19,760","19,800","19,320","-1.41%"
"2026-04-20","19,771","19,731","20,502","19,700","1.16%"
"2026-04-21","19,654","19,795","19,993","19,531","-1.59%"
"2026-04-22","19,543","19,688","19,695","18,980","-0.87%"
"2026-04-23","18,896","19,498","19,585","18,833","-2.79%"
"2026-04-24","18,481","18,860","19,130","18,333","-3.18%"
"2026-04-27","18,796","18,830","18,969","18,575","0.69%"
"2026-04-28","18,066","18,740","18,809","17,950","-3.65%"
"2026-04-29","18,069","17,800","18,226","17,782","-1.20%"
"2026-04-30","18,119","17,926","18,148","17,529","0.23%"
"2026-05-06","18,837","18,409","18,858","18,341","5.15%"
"2026-05-07","19,538","19,010","19,588","18,894","4.65%"
"2026-05-08","19,692","19,875","20,131","19,513","2.14%"
"2026-05-11","19,895","19,900","20,085","19,550","0.39%"
"2026-05-12","20,749","20,033","21,423","19,997","4.39%"
"2026-05-13","21,265","20,700","23,400","20,512","1.41%"
"2026-05-14","21,400","21,369","22,038","21,101","-1.01%"
"2026-05-15","19,428","21,300","21,345","19,068","-9.38%"
"2026-05-18","18,601","19,250","19,309","18,109","-6.06%"
"2026-05-19","18,542","18,687","19,122","18,451","0.72%"
"2026-05-20","18,380","18,510","18,645","17,821","-1.86%"
"2026-05-21","18,321","18,510","18,820","18,170","1.18%"
"2026-05-22","18,623","18,366","18,850","18,119","0.75%"
