"日期","收市","開市","高","低","升跌（%）"
"2026-01-04","18,759","17,850","20,209","17,830","5.49%"
"2026-01-11","22,641","18,920","23,665","18,760","21.99%"
"2026-01-18","24,988","22,702","25,080","21,525","10.05%"
"2026-01-25","27,530","24,888","31,000","24,888","11.58%"
"2026-02-01","18,197","26,671","26,780","17,000","-37.07%"
"2026-02-08","19,270","18,500","20,600","17,829","6.29%"
"2026-02-22","22,369","21,970","22,418","20,768","18.66%"
"2026-03-01","21,350","22,150","24,000","20,022","-3.15%"
"2026-03-08","20,887","21,000","22,575","20,300","-1.50%"
"2026-03-15","17,780","21,150","21,334","16,119","-16.60%"
"2026-03-22","17,467","17,877","18,508","15,060","-2.15%"
"2026-03-29","17,803","17,080","19,038","16,956","2.98%"
"2026-04-05","18,560","17,849","19,015","17,280","3.65%"
"2026-04-12","19,588","18,560","20,061","18,228","5.53%"
"2026-04-19","18,481","19,731","20,502","18,333","-5.44%"
"2026-04-26","18,119","18,830","18,969","17,529","-2.94%"
"2026-05-03","19,692","18,409","20,131","18,341","9.92%"
"2026-05-10","19,428","19,900","23,400","19,068","-1.97%"
"2026-05-17","18,623","19,250","19,309","17,821","-5.94%"
