"日期","收市","開市","高","低","升跌（%）"
"2026-01-05","993.57","990.00","996.00","987.01","1.92%"
"2026-01-06","1,003.01","994.00","1,008.00","990.00","0.95%"
"2026-01-07","999.68","1,002.00","1,007.30","996.50","-0.33%"
"2026-01-08","996.21","1,005.00","1,005.00","992.01","-0.35%"
"2026-01-09","1,003.49","995.00","1,004.88","992.05","0.73%"
"2026-01-12","1,023.71","1,003.50","1,029.00","1,001.49","2.01%"
"2026-01-13","1,025.02","1,024.00","1,030.01","1,022.50","0.13%"
"2026-01-14","1,038.00","1,028.00","1,038.58","1,024.00","1.27%"
"2026-01-15","1,034.27","1,040.00","1,040.00","1,027.50","-0.36%"
"2026-01-16","1,032.63","1,036.00","1,036.00","1,028.00","-0.16%"
"2026-01-19","1,045.72","1,033.00","1,049.99","1,020.00","1.27%"
"2026-01-20","1,056.43","1,046.00","1,056.80","1,044.50","1.02%"
"2026-01-21","1,087.81","1,058.99","1,099.99","1,055.00","2.97%"
"2026-01-22","1,083.69","1,090.00","1,098.00","1,066.01","-0.38%"
"2026-01-23","1,110.30","1,083.77","1,114.00","1,081.00","2.46%"
"2026-01-26","1,144.45","1,107.00","1,147.00","1,105.00","3.08%"
"2026-01-27","1,144.14","1,143.50","1,150.00","1,126.00","-0.03%"
"2026-01-28","1,184.96","1,142.00","1,185.90","1,030.00","3.57%"
"2026-01-29","1,243.02","1,180.50","1,256.00","1,178.00","4.90%"
"2026-01-30","1,163.95","1,247.90","1,248.50","1,148.01","-6.36%"
"2026-02-02","1,030.00","1,153.00","1,157.00","998.00","-11.51%"
"2026-02-03","1,097.89","1,070.00","1,100.00","1,040.00","6.59%"
"2026-02-04","1,140.30","1,100.00","1,198.50","1,090.00","3.86%"
"2026-02-05","1,105.47","1,139.00","1,140.00","1,078.00","-3.05%"
"2026-02-06","1,093.85","1,094.00","1,102.95","1,049.01","-1.05%"
"2026-02-09","1,116.02","1,090.00","1,132.00","1,050.00","2.03%"
"2026-02-10","1,116.69","1,121.00","1,130.50","1,115.00","0.06%"
"2026-02-11","1,123.02","1,120.00","1,128.00","1,115.00","0.57%"
"2026-02-12","1,122.52","1,136.00","1,137.00","1,120.00","-0.04%"
"2026-02-13","1,108.92","1,124.00","1,127.00","1,092.00","-1.21%"
"2026-02-24","1,147.66","1,155.00","1,158.00","1,138.30","3.49%"
"2026-02-25","1,145.64","1,146.10","1,155.00","1,136.00","-0.18%"
"2026-02-26","1,144.51","1,145.10","1,150.00","1,141.51","-0.10%"
"2026-02-27","1,142.97","1,144.99","1,147.90","1,135.00","-0.13%"
"2026-03-02","1,199.45","1,146.00","1,201.80","1,144.20","4.94%"
"2026-03-03","1,182.00","1,195.00","1,219.90","1,174.50","-1.45%"
"2026-03-04","1,153.18","1,149.00","1,169.00","1,125.00","-2.44%"
"2026-03-05","1,149.61","1,154.00","1,158.00","1,140.38","-0.31%"
"2026-03-06","1,139.33","1,151.00","1,151.00","1,132.00","-0.89%"
"2026-03-09","1,140.38","1,135.00","1,160.00","1,120.00","0.09%"
"2026-03-10","1,144.78","1,139.10","1,151.60","1,132.10","0.39%"
"2026-03-11","1,150.42","1,148.50","1,158.00","1,142.50","0.49%"
"2026-03-12","1,146.45","1,149.00","1,152.00","1,141.50","-0.35%"
"2026-03-13","1,131.09","1,147.00","1,150.80","1,129.65","-1.34%"
"2026-03-16","1,114.61","1,138.00","1,140.00","1,110.01","-1.46%"
"2026-03-17","1,115.97","1,117.80","1,121.00","1,109.00","0.12%"
"2026-03-18","1,111.89","1,115.00","1,117.00","1,108.00","-0.37%"
"2026-03-19","1,061.00","1,095.00","1,181.00","1,057.00","-4.58%"
"2026-03-20","1,041.59","1,140.00","1,140.00","1,007.00","-1.83%"
"2026-03-23","924.65","1,040.00","1,046.00","911.00","-11.23%"
"2026-03-24","979.56","965.00","999.00","953.20","5.94%"
"2026-03-25","1,015.45","980.00","1,028.99","965.10","3.66%"
"2026-03-26","991.36","1,015.45","1,022.50","982.00","-2.37%"
"2026-03-27","993.90","988.00","999.50","977.00","0.26%"
"2026-03-30","1,008.75","990.00","1,015.00","986.00","1.49%"
"2026-03-31","1,018.90","1,015.00","1,029.99","1,008.00","1.01%"
"2026-04-01","1,047.89","1,023.00","1,050.00","1,015.00","2.85%"
"2026-04-02","1,027.50","1,060.00","1,095.00","1,010.00","-1.95%"
"2026-04-03","1,034.42","1,022.00","1,042.00","1,020.00","0.67%"
"2026-04-07","1,028.00","1,032.00","1,035.00","1,026.00","-0.62%"
"2026-04-08","1,059.91","1,033.00","1,065.00","1,021.00","3.10%"
"2026-04-09","1,036.00","1,060.00","1,060.00","1,036.00","-2.26%"
"2026-04-10","1,047.23","1,047.00","1,055.00","1,043.00","1.08%"
"2026-04-13","1,042.30","1,048.50","1,055.00","1,035.00","-0.47%"
"2026-04-14","1,048.35","1,040.00","1,052.00","1,035.10","0.58%"
"2026-04-15","1,055.19","1,047.10","1,067.80","1,046.00","0.65%"
"2026-04-16","1,058.36","1,050.00","1,060.20","1,050.00","0.30%"
"2026-04-17","1,053.00","1,058.00","1,060.00","1,046.10","-0.51%"
"2026-04-20","1,053.98","1,055.00","1,070.00","1,045.00","0.09%"
"2026-04-21","1,050.48","1,055.50","1,059.00","1,048.06","-0.33%"
"2026-04-22","1,049.11","1,053.00","1,055.80","1,038.88","-0.13%"
"2026-04-23","1,037.50","1,047.00","1,053.00","1,034.50","-1.11%"
"2026-04-24","1,033.25","1,040.00","1,044.00","1,028.00","-0.41%"
"2026-04-27","1,037.21","1,039.90","1,044.00","1,033.00","0.38%"
"2026-04-28","1,020.73","1,035.00","1,038.90","1,019.00","-1.59%"
"2026-04-29","1,009.88","1,007.00","1,020.00","1,006.32","-1.06%"
"2026-04-30","1,013.60","1,007.00","1,016.00","995.00","0.37%"
"2026-05-06","1,026.94","1,017.00","1,027.00","1,014.04","1.32%"
"2026-05-07","1,038.94","1,030.00","1,044.99","1,025.10","1.17%"
"2026-05-08","1,032.00","1,038.20","1,045.00","1,031.00","-0.67%"
"2026-05-11","1,025.82","1,033.50","1,039.90","1,018.31","-0.60%"
"2026-05-12","1,028.51","1,025.00","1,040.10","1,025.00","0.26%"
"2026-05-13","1,029.99","1,030.00","1,032.90","1,018.00","0.14%"
"2026-05-14","1,028.68","1,030.80","1,031.20","1,022.02","-0.13%"
