"日期","收市","開市","高","低","升跌（%）"
"2026-01-04","1,003.49","990.00","1,008.00","987.01","2.93%"
"2026-01-11","1,032.63","1,003.50","1,040.00","1,001.49","2.90%"
"2026-01-18","1,110.30","1,033.00","1,114.00","1,020.00","7.52%"
"2026-01-25","1,163.95","1,107.00","1,256.00","1,030.00","4.83%"
"2026-02-01","1,093.85","1,153.00","1,198.50","998.00","-6.02%"
"2026-02-08","1,108.92","1,090.00","1,137.00","1,050.00","1.38%"
"2026-02-22","1,142.97","1,155.00","1,158.00","1,135.00","3.07%"
"2026-03-01","1,139.33","1,146.00","1,219.90","1,125.00","-0.32%"
"2026-03-08","1,131.09","1,135.00","1,160.00","1,120.00","-0.72%"
"2026-03-15","1,041.59","1,138.00","1,181.00","1,007.00","-7.91%"
"2026-03-22","993.90","1,040.00","1,046.00","911.00","-4.58%"
"2026-03-29","1,034.42","990.00","1,095.00","986.00","4.08%"
"2026-04-05","1,047.23","1,032.00","1,065.00","1,021.00","1.24%"
"2026-04-12","1,053.00","1,048.50","1,067.80","1,035.00","0.55%"
"2026-04-19","1,033.25","1,055.00","1,070.00","1,028.00","-1.88%"
"2026-04-26","1,013.60","1,039.90","1,044.00","995.00","-1.90%"
"2026-05-03","1,032.00","1,017.00","1,045.00","1,014.04","1.82%"
"2026-05-10","1,006.01","1,033.50","1,040.10","1,000.05","-2.52%"
"2026-05-17","992.10","1,000.01","1,008.80","979.01","-1.38%"
