"日期","收市","開市","高","低","升跌（%）"
"2026-01-05","992.63","987.26","993.76","986.01","1.87%"
"2026-01-06","1,001.92","992.60","1,004.62","988.51","1.24%"
"2026-01-07","999.20","1,003.00","1,007.66","995.13","-0.08%"
"2026-01-08","995.86","997.00","1,002.00","991.28","-0.52%"
"2026-01-09","1,002.92","993.00","1,004.10","990.20","0.68%"
"2026-01-12","1,022.12","1,003.20","1,028.00","1,000.20","2.21%"
"2026-01-13","1,025.52","1,022.07","1,031.50","1,022.00","0.64%"
"2026-01-14","1,037.61","1,026.00","1,038.09","1,024.21","1.15%"
"2026-01-15","1,033.92","1,037.00","1,039.70","1,026.58","0.04%"
"2026-01-16","1,031.09","1,034.00","1,034.50","1,026.00","0.02%"
"2026-01-19","1,045.27","1,033.65","1,048.80","1,017.86","1.42%"
"2026-01-20","1,055.99","1,044.42","1,056.70","1,042.74","1.50%"
"2026-01-21","1,085.93","1,058.95","1,095.79","1,054.50","3.49%"
"2026-01-22","1,083.92","1,089.96","1,093.80","1,069.28","0.44%"
"2026-01-23","1,110.35","1,084.00","1,113.18","1,080.41","2.82%"
"2026-01-26","1,144.26","1,104.00","1,145.60","1,100.25","3.60%"
"2026-01-27","1,142.89","1,142.00","1,148.03","1,125.00","0.78%"
"2026-01-28","1,184.04","1,142.03","1,185.50","1,130.00","3.96%"
"2026-01-29","1,243.40","1,180.44","1,255.00","1,177.25","6.91%"
"2026-01-30","1,163.99","1,239.53","1,248.52","1,140.41","-5.97%"
"2026-02-02","1,027.12","1,155.03","1,156.01","1,004.59","-13.09%"
"2026-02-03","1,096.34","1,063.00","1,096.80","1,032.99","2.96%"
"2026-02-04","1,140.03","1,109.00","1,140.80","1,096.00","6.02%"
"2026-02-05","1,105.85","1,133.63","1,136.00","1,077.00","-2.09%"
"2026-02-06","1,091.49","1,092.00","1,102.15","1,048.88","-1.33%"
"2026-02-09","1,118.84","1,095.31","1,130.88","1,092.00","3.69%"
"2026-02-10","1,117.40","1,119.50","1,130.80","1,114.50","0.04%"
"2026-02-11","1,124.47","1,123.50","1,128.10","1,115.00","0.36%"
"2026-02-12","1,122.92","1,135.00","1,136.50","1,115.35","-0.09%"
"2026-02-13","1,108.50","1,123.60","1,126.51","1,084.50","-1.47%"
"2026-02-24","1,146.88","1,158.50","1,158.50","1,139.00","3.59%"
"2026-02-25","1,145.07","1,145.60","1,151.05","1,132.96","-0.25%"
"2026-02-26","1,143.00","1,145.00","1,150.99","1,140.38","-0.24%"
"2026-02-27","1,142.48","1,139.01","1,147.29","1,134.14","-0.19%"
"2026-03-02","1,199.51","1,145.50","1,209.96","1,144.10","4.80%"
"2026-03-03","1,181.56","1,194.93","1,202.50","1,173.00","0.41%"
"2026-03-04","1,152.95","1,148.09","1,166.99","1,122.40","-2.81%"
"2026-03-05","1,148.56","1,156.00","1,159.59","1,140.00","-0.22%"
"2026-03-06","1,138.46","1,149.98","1,151.00","1,130.04","-0.90%"
"2026-03-09","1,139.96","1,132.00","1,150.00","1,119.10","-0.08%"
"2026-03-10","1,145.02","1,137.50","1,151.51","1,132.64","0.56%"
"2026-03-11","1,150.30","1,148.00","1,158.97","1,144.00","0.38%"
"2026-03-12","1,146.26","1,148.00","1,151.00","1,140.70","-0.51%"
"2026-03-13","1,131.25","1,146.26","1,149.05","1,129.30","-1.23%"
"2026-03-16","1,114.99","1,138.00","1,139.02","1,109.98","-1.90%"
"2026-03-17","1,115.48","1,113.50","1,120.30","1,109.00","-0.27%"
"2026-03-18","1,111.73","1,112.50","1,117.25","1,107.43","-0.35%"
"2026-03-19","1,062.39","1,096.00","1,096.66","1,056.68","-4.38%"
"2026-03-20","1,040.60","1,035.30","1,055.00","1,002.10","-3.44%"
"2026-03-23","920.99","1,038.38","1,044.00","913.94","-11.45%"
"2026-03-24","977.99","970.00","998.00","956.85","0.03%"
"2026-03-25","1,014.44","977.00","1,024.00","967.50","4.28%"
"2026-03-26","989.77","1,018.00","1,019.46","982.52","-1.92%"
"2026-03-27","992.45","985.14","999.11","975.10","-0.99%"
"2026-03-30","1,008.96","987.50","1,015.28","985.00","1.80%"
"2026-03-31","1,015.68","1,017.00","1,030.33","1,007.50","1.18%"
"2026-04-01","1,046.33","1,020.11","1,049.37","1,017.60","2.73%"
