"日期","收市","開市","高","低","升跌（%）"
"2026-01-04","1,002.92","987.26","1,007.66","986.01","2.93%"
"2026-01-11","1,031.09","1,003.20","1,039.70","1,000.20","3.11%"
"2026-01-18","1,110.35","1,033.65","1,113.18","1,017.86","7.73%"
"2026-01-25","1,163.99","1,104.00","1,255.00","1,100.25","5.38%"
"2026-02-01","1,091.49","1,155.03","1,156.01","1,004.59","-7.65%"
"2026-02-08","1,108.50","1,095.31","1,136.50","1,084.50","2.73%"
"2026-02-22","1,142.48","1,158.50","1,158.50","1,132.96","3.19%"
"2026-03-01","1,138.46","1,145.50","1,209.96","1,122.40","-0.53%"
"2026-03-08","1,131.25","1,132.00","1,158.97","1,119.10","-0.84%"
"2026-03-15","1,040.60","1,138.00","1,139.02","1,002.10","-8.44%"
"2026-03-22","992.45","1,038.38","1,044.00","913.94","-4.58%"
"2026-03-29","1,034.79","987.50","1,060.91","985.00","4.41%"
"2026-04-05","1,046.45","1,030.77","1,069.99","1,020.65","1.38%"
"2026-04-12","1,052.94","1,049.00","1,067.66","1,031.00","0.50%"
"2026-04-19","1,033.06","1,054.00","1,070.80","1,027.00","-1.84%"
"2026-04-26","1,013.97","1,037.30","1,043.30","995.20","-1.95%"
"2026-05-03","1,033.76","1,017.87","1,044.00","1,014.42","2.64%"
"2026-05-10","1,005.53","1,034.40","1,040.80","1,000.01","-2.97%"
"2026-05-17","991.81","1,001.00","1,005.43","979.25","-1.67%"
