"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-22","76.199","77.015","77.415","75.265","26.33K","-0.69%"
"2026-5-21","76.732","76.190","77.480","74.695","34.38K","0.72%"
"2026-5-20","76.181","74.080","76.995","73.390","37.66K","1.36%"
"2026-5-19","75.159","78.050","79.400","73.345","45.52K","-2.95%"
"2026-5-18","77.444","76.205","78.620","74.110","53.63K","-0.13%"
"2026-5-15","77.547","84.000","84.380","76.090","79.62K","-9.12%"
"2026-5-14","85.328","88.125","89.165","83.625","54.85K","-4.52%"
"2026-5-13","89.368","87.320","90.105","86.330","54.97K","4.41%"
"2026-5-12","85.591","86.740","88.000","83.670","62.90K","-0.42%"
"2026-5-11","85.948","80.150","86.975","79.530","65.56K","6.29%"
"2026-5-8","80.865","78.800","82.160","78.580","38.34K","0.85%"
"2026-5-7","80.180","77.830","82.675","77.455","61.62K","3.72%"
"2026-5-6","77.303","73.300","78.335","73.050","48.50K","5.06%"
"2026-5-5","73.581","73.170","74.645","72.805","21.55K","0.08%"
"2026-5-4","73.522","76.455","76.530","72.600","37.62K","-3.81%"
"2026-5-1","76.431","74.315","77.525","73.435","34.64K","3.25%"
"2026-4-30","74.028","71.760","74.400","71.650","29.45K","2.69%"
"2026-4-29","72.088","73.505","74.425","71.310","36.95K","-1.90%"
"2026-4-28","73.484","76.000","76.260","72.225","1.98K","-2.40%"
"2026-4-27","75.291","75.970","76.760","74.945","1.02K","-2.14%"
"2026-4-24","76.940","76.210","77.180","74.400","25.99K","1.16%"
"2026-4-23","76.060","78.285","78.925","74.775","33.93K","-2.44%"
"2026-4-22","77.961","76.840","78.630","76.615","33.23K","1.93%"
"2026-4-21","76.488","79.845","80.380","75.380","53.54K","-4.44%"
"2026-4-20","80.038","80.240","80.755","78.715","41.30K","-2.20%"
"2026-4-17","81.842","78.665","83.245","77.770","48.69K","3.98%"
"2026-4-16","78.710","79.195","81.035","78.160","35.32K","-1.15%"
"2026-4-15","79.628","79.705","81.155","78.305","40.93K","0.12%"
"2026-4-14","79.533","75.655","79.800","75.605","51.73K","5.11%"
"2026-4-13","75.665","74.850","76.000","72.545","42.17K","-1.07%"
"2026-4-10","76.480","75.500","77.005","74.880","35.11K","0.05%"
"2026-4-9","76.438","74.300","76.840","72.925","42.68K","1.40%"
"2026-4-8","75.385","73.450","77.800","73.345","58.46K","4.72%"
"2026-4-7","71.987","72.860","73.610","69.780","39.44K","-1.18%"
"2026-4-6","72.847","72.720","73.735","71.335","19.20K","-0.11%"
"2026-4-3","72.924","75.150","75.985","69.610","","0.00%"
"2026-4-2","72.924","75.150","75.985","69.610","53.38K","-4.15%"
"2026-4-1","76.078","75.480","76.265","74.000","35.87K","1.55%"
"2026-3-31","74.919","70.245","75.625","69.100","45.39K","6.16%"
"2026-3-30","70.569","69.350","72.025","67.700","31.43K","1.45%"
"2026-3-27","69.561","68.415","71.035","67.340","0.39K","2.75%"
"2026-3-26","67.697","70.570","71.910","66.750","0.48K","-6.49%"
"2026-3-25","72.395","71.470","74.470","71.065","0.89K","4.44%"
"2026-3-24","69.319","69.655","71.200","65.910","0.63K","0.30%"
"2026-3-23","69.109","66.655","70.725","61.200","1.49K","-0.80%"
"2026-3-20","69.664","72.830","74.620","67.740","49.91K","-2.18%"
"2026-3-19","71.215","75.365","76.755","65.550","82.02K","-8.22%"
"2026-3-18","77.592","79.390","80.320","75.015","48.50K","-2.91%"
"2026-3-17","79.921","80.920","82.760","78.375","28.08K","-0.94%"
"2026-3-16","80.682","80.295","81.820","77.125","42.63K","-0.81%"
"2026-3-13","81.343","83.910","85.620","79.520","48.94K","-4.43%"
"2026-3-12","85.112","86.065","87.695","83.120","34.18K","-0.49%"
"2026-3-11","85.535","88.505","89.705","84.555","40.53K","-4.53%"
"2026-3-10","89.592","87.275","90.385","86.805","41.85K","6.00%"
"2026-3-9","84.523","84.620","87.405","79.640","46.18K","0.25%"
"2026-3-6","84.311","82.555","85.335","81.785","41.41K","2.59%"
"2026-3-5","82.181","83.895","85.750","80.565","49.37K","-1.21%"
"2026-3-4","83.184","82.400","87.070","81.740","45.68K","-0.35%"
"2026-3-3","83.473","89.690","91.605","78.060","100.36K","-6.05%"
"2026-3-2","88.853","96.000","97.300","86.725","81.85K","-4.76%"
"2026-2-27","93.291","89.075","94.760","88.305","55.74K","6.52%"
"2026-2-26","87.584","89.560","90.990","85.545","58.39K","-4.08%"
"2026-2-25","91.307","87.300","91.640","86.860","2.67K","3.99%"
"2026-2-24","87.807","88.610","89.030","85.540","1.49K","1.06%"
"2026-2-23","86.889","84.900","89.050","84.900","1.28K","5.52%"
"2026-2-20","82.343","78.475","84.645","77.285","57.45K","6.07%"
"2026-2-19","77.634","77.145","79.405","76.300","39.92K","0.05%"
"2026-2-18","77.598","73.580","78.320","72.250","46.41K","5.52%"
"2026-2-17","73.540","77.550","78.420","71.815","72.73K","-3.58%"
"2026-2-16","76.270","76.265","77.438","74.685","15.77K","-0.02%"
"2026-2-15","76.287","77.527","78.420","74.650","","-2.15%"
"2026-2-13","77.964","75.175","79.265","73.745","56.88K","3.02%"
"2026-2-12","75.682","84.125","84.875","74.370","91.03K","-9.82%"
"2026-2-11","83.920","80.500","86.120","80.415","64.91K","4.40%"
"2026-2-10","80.384","83.215","83.745","79.615","56.17K","-2.25%"
"2026-2-9","82.234","78.100","83.760","78.100","71.60K","6.94%"
"2026-2-6","76.895","70.360","77.920","63.900","111.21K","0.24%"
"2026-2-5","76.714","87.645","89.830","70.175","165.09K","-9.10%"
"2026-2-4","84.396","84.915","92.015","83.000","113.34K","1.31%"
"2026-2-3","83.301","79.220","89.100","79.010","127.59K","8.17%"
"2026-2-2","77.009","84.300","88.000","71.200","167.86K","-1.94%"
"2026-1-30","78.531","115.885","118.450","74.000","317.24K","-31.37%"
"2026-1-29","114.429","116.625","121.785","106.610","193.65K","1.12%"
"2026-1-28","113.162","112.095","117.030","110.495","1.44K","7.17%"
"2026-1-27","105.592","104.760","112.750","102.595","1.72K","-8.30%"
"2026-1-26","115.148","104.970","117.265","101.510","1.95K","13.63%"
"2026-1-23","101.333","96.320","103.530","96.220","139.09K","5.15%"
"2026-1-22","96.372","92.790","96.735","90.680","108.42K","4.03%"
"2026-1-21","92.637","94.550","95.530","90.150","128.65K","-2.11%"
"2026-1-20","94.636","90.605","95.780","90.500","199.93K","0.87%"
"2026-1-19","93.820","93.635","94.740","92.283","79.94K","-7.41%"
"2026-1-18","101.333","90.605","103.530","90.150","436.99K","14.45%"
"2026-1-11","88.537","80.505","93.700","79.900","897.43K","11.72%"
"2026-1-6","79.250","81.285","82.585","78.100","57.33K","-2.21%"
"2026-1-5","81.039","76.530","81.485","75.700","136.39K","5.72%"
"2026-1-4","76.657","73.080","77.835","72.505","131.25K","7.94%"
"2026-1-1","71.015","71.500","74.210","70.515","99.77K","0.58%"
"2025-12-30","70.603","76.065","76.275","69.255","148.60K","-9.39%"
"2025-12-29","77.919","71.685","78.065","70.670","168.12K","10.59%"
"2025-12-28","70.460","80.000","82.670","70.215","248.84K","-8.73%"
"2025-12-25","77.196","72.725","79.700","72.720","171.24K","7.69%"
"2025-12-23","71.685","71.680","72.750","70.160","94.82K","0.77%"
"2025-12-22","71.137","69.080","71.795","68.725","128.80K","3.75%"
"2025-12-21","68.565","67.550","69.525","67.470","98.56K","1.59%"
"2025-12-18","67.489","65.415","67.680","64.465","96.49K","3.48%"
"2025-12-17","65.219","66.510","66.825","64.675","111.67K","-2.51%"
"2025-12-16","66.901","63.795","67.180","63.725","147.11K","5.65%"
"2025-12-15","63.323","64.110","64.205","62.115","95.99K","2.12%"
"2025-12-11","62.007","63.985","65.085","61.015","189.23K","-4.00%"
"2025-12-10","64.592","62.235","64.720","61.780","134.40K","5.84%"
"2025-12-9","61.029","61.110","62.390","60.550","119.07K","0.31%"
"2025-12-8","60.840","58.515","61.295","57.990","118.78K","4.17%"
"2025-12-7","58.405","58.765","59.070","57.770","61.21K","-1.10%"
"2025-12-4","59.053","57.560","59.900","57.320","104.52K","2.72%"
"2025-12-3","57.491","58.980","59.235","56.850","99.36K","-1.93%"
"2025-12-2","58.620","59.160","59.655","58.210","103.40K","-0.14%"
"2025-12-1","58.703","58.450","59.320","57.225","108.76K","-0.74%"
"2025-11-30","59.142","57.000","59.435","56.850","141.45K","3.46%"
"2025-11-26","57.163","53.755","57.245","53.220","97.73K","6.63%"
"2025-11-25","53.607","51.750","53.790","51.545","86.09K","5.18%"
"2025-11-24","50.965","51.160","51.510","50.320","49.59K","1.27%"
"2025-11-23","50.326","49.855","51.215","49.370","57.17K","0.83%"
"2025-11-20","49.913","50.395","50.555","48.050","106.79K","-0.77%"
"2025-11-19","50.301","51.060","51.570","49.925","96.74K","-1.09%"
