"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-1","78.293","74.315","90.105","72.600","759.56K","5.76%"
"2026-4-1","74.028","75.825","83.440","69.900","83.84K","-1.56%"
"2026-3-1","75.198","96.000","97.300","61.210","1.06M","-19.39%"
"2026-2-1","93.291","82.000","94.760","64.250","135.68K","18.34%"
"2026-1-1","78.832","71.500","121.760","70.515","2.98M","11.19%"
"2025-12-1","70.896","57.000","82.670","56.850","2.49M","25.01%"
"2025-11-1","56.711","48.250","56.775","46.520","1.36M","16.76%"
"2025-10-1","48.569","47.200","53.860","45.810","15.91K","4.14%"
"2025-9-1","46.640","40.790","47.975","41.065","1.27M","14.70%"
"2025-8-1","40.662","37.090","41.995","36.960","1.05M","10.76%"
"2025-7-1","36.712","36.325","39.910","36.055","1.15M","1.49%"
"2025-6-1","36.172","33.130","37.405","34.165","1.13M","8.22%"
"2025-5-1","33.423","32.810","33.915","31.780","823.23K","1.81%"
"2025-4-1","32.828","34.770","35.155","29.115","1.28M","-5.15%"
"2025-3-1","34.611","31.715","35.495","32.030","982.64K","7.79%"
"2025-2-1","32.110","32.460","34.240","31.365","961.43K","-1.18%"
"2025-1-1","32.493","29.310","32.920","29.935","811.87K","10.48%"
"2024-12-1","29.412","30.785","33.330","29.145","826.44K","-3.42%"
"2024-11-1","30.455","32.720","33.055","29.750","1.03M","-7.58%"
"2024-10-1","32.953","31.420","35.070","30.345","1.38M","4.75%"
"2024-9-1","31.458","29.188","33.020","28.010","1.29M","5.47%"
"2024-8-1","29.827","29.070","30.110","26.505","1.14M","2.59%"
"2024-7-1","29.073","29.445","32.015","27.555","1.29M","-0.63%"
"2024-6-1","29.256","30.765","31.670","28.580","1.36M","-7.65%"
"2024-5-1","31.680","26.550","32.720","26.255","1.61M","18.86%"
"2024-4-1","26.654","25.360","29.905","25.195","1.92M","7.13%"
"2024-3-1","24.879","23.370","25.975","23.785","1.14M","8.71%"
"2024-2-1","22.885","23.435","23.560","21.975","1.14M","-1.71%"
"2024-1-1","23.282","24.027","24.335","22.165","1.13M","-4.47%"
"2023-12-1","24.372","26.050","25.020","22.785","906.42K","-4.58%"
"2023-11-1","25.541","22.970","25.940","22.150","1.13M","10.69%"
"2023-10-1","23.075","22.410","23.880","20.850","1.08M","1.47%"
"2023-9-1","22.741","24.540","24.655","22.325","1.03M","-7.90%"
"2023-8-1","24.692","24.540","25.425","22.265","1.20M","-1.59%"
"2023-7-1","25.092","22.995","25.475","22.720","953.88K","10.06%"
"2023-6-1","22.798","23.830","24.620","22.140","1.10M","-3.79%"
"2023-5-1","23.696","25.460","26.435","22.785","1.24M","-6.00%"
"2023-4-1","25.209","24.050","26.235","23.970","1.01M","4.71%"
"2023-3-1","24.076","21.030","24.310","19.945","1.08M","14.26%"
"2023-2-1","21.071","24.010","24.750","20.505","1.11M","-11.95%"
"2023-1-1","23.930","24.177","24.775","23.050","1.16M","-1.32%"
"2022-12-1","24.250","22.680","24.525","22.190","857.98K","11.61%"
"2022-11-1","21.727","19.160","23.005","18.805","1.22M","13.26%"
"2022-10-1","19.184","18.995","21.310","18.010","1.04M","2.52%"
"2022-9-1","18.712","17.700","19.960","17.620","961.21K","4.83%"
"2022-8-1","17.849","20.500","20.850","17.400","1.02M","-10.39%"
"2022-7-1","19.918","19.880","20.350","18.010","843.34K","-2.13%"
"2022-6-1","20.352","21.540","22.525","19.295","970.34K","-6.37%"
"2022-5-1","21.737","22.785","23.345","20.420","870.48K","-6.23%"
"2022-4-1","23.181","24.750","26.195","22.710","826.23K","-7.86%"
"2022-3-1","25.158","24.455","27.495","24.045","1.07M","3.25%"
"2022-2-1","24.366","22.750","25.670","21.985","930.34K","8.68%"
"2022-1-1","22.419","23.385","24.755","21.945","941.11K","-2.78%"
"2021-12-1","23.060","22.945","23.480","21.410","741.99K","1.14%"
"2021-11-1","22.799","23.990","25.490","22.185","1.22M","-5.55%"
"2021-10-1","24.139","22.600","24.920","22.185","906.19K","9.49%"
"2021-9-1","22.047","23.935","24.945","21.410","887.49K","-8.10%"
"2021-8-1","23.991","25.570","26.090","22.835","1.05M","-7.01%"
"2021-7-1","25.799","26.250","26.700","24.515","894.60K","-1.51%"
"2021-6-1","26.194","28.070","28.445","25.580","1.31M","-6.30%"
"2021-5-1","27.955","25.990","28.900","26.160","1.13M","7.17%"
"2021-4-1","26.085","25.050","26.730","24.680","1.07M","6.24%"
"2021-3-1","24.552","26.700","26.985","23.740","1.24M","-11.32%"
"2021-2-1","27.685","28.860","29.150","25.935","1.42M","6.71%"
"2021-1-1","25.945","26.770","28.105","24.530","1.51M","-2.36%"
"2020-12-1","26.573","23.820","26.880","23.690","1.08M","17.67%"
"2020-11-1","22.583","23.710","24.600","22.230","1.33M","-3.52%"
"2020-10-1","23.408","23.355","24.905","22.865","1.23M","-0.37%"
"2020-9-1","23.494","28.750","28.155","21.820","1.60M","-17.65%"
"2020-8-1","28.530","24.480","28.230","23.665","3.28M","21.66%"
"2020-7-1","23.450","18.580","23.435","17.995","2.00M","25.82%"
"2020-6-1","18.637","18.740","18.685","17.125","1.21M","3.49%"
"2020-5-1","18.009","15.075","17.775","14.760","835.16K","20.28%"
"2020-4-1","14.973","14.175","15.810","14.175","838.34K","5.59%"
"2020-3-1","14.180","16.500","17.150","11.640","1.56M","-20.05%"
"2020-2-1","17.735","18.135","18.585","17.480","1.42M","-1.65%"
"2020-1-1","18.032","17.905","18.085","17.280","1.40M","0.17%"
