"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-17","76.199","76.205","79.400","73.345","197.51K","-1.74%"
"2026-5-10","77.547","80.150","90.105","76.090","317.89K","-4.10%"
"2026-5-3","80.865","76.455","82.675","72.600","207.63K","5.80%"
"2026-4-26","76.431","75.970","77.525","71.310","104.05K","-0.32%"
"2026-4-19","76.678","80.150","81.030","74.195","6.08K","-6.65%"
"2026-4-12","82.137","75.290","83.440","73.260","3.64K","7.00%"
"2026-4-5","76.763","73.080","78.000","70.100","3.12K","4.47%"
"2026-3-29","73.480","69.315","76.830","68.250","24.36K","5.63%"
"2026-3-22","69.561","66.655","74.470","61.200","3.88K","0.20%"
"2026-3-15","69.420","79.780","82.200","65.455","5.02K","-14.36%"
"2026-3-8","81.058","84.100","90.000","79.315","5.27K","-3.52%"
"2026-3-1","84.014","96.065","96.530","77.990","7.71K","-9.94%"
"2026-2-22","93.291","84.900","94.760","84.900","119.56K","12.87%"
"2026-2-15","82.654","77.310","84.915","72.345","5.09K","5.64%"
"2026-2-8","78.242","79.855","86.220","74.010","5.29K","1.36%"
"2026-2-1","77.190","82.000","92.080","64.250","5.74K","-2.46%"
"2026-1-25","79.140","105.195","122.675","74.775","54.78K","-21.65%"
"2026-1-18","101.002","90.700","103.035","90.000","5.42K","14.48%"
"2026-1-11","88.226","80.485","93.105","79.835","12.72K","11.57%"
"2026-1-4","79.075","72.825","82.220","72.315","13.32K","11.35%"
"2025-12-28","71.015","80.000","82.670","69.255","665.33K","-8.01%"
"2025-12-21","77.196","67.550","79.700","67.470","493.41K","14.38%"
"2025-12-14","67.489","64.110","67.680","62.115","451.26K","8.84%"
"2025-12-7","62.007","58.765","65.085","57.770","622.69K","5.00%"
"2025-11-30","59.053","57.000","59.900","56.850","557.48K","3.31%"
"2025-11-23","57.163","49.855","57.245","49.370","290.58K","14.53%"
"2025-11-16","49.913","50.405","52.245","48.050","452.84K","-1.53%"
"2025-11-9","50.686","48.295","54.415","48.235","515.76K","5.28%"
"2025-11-2","48.143","47.885","48.730","46.520","225.72K","-0.04%"
"2025-10-26","48.160","46.850","48.995","45.510","275.59K","-0.88%"
"2025-10-19","48.586","51.370","51.615","46.820","412.61K","-3.03%"
"2025-10-12","50.104","50.755","53.765","48.750","633.05K","6.05%"
"2025-10-5","47.247","48.405","49.965","46.700","537.27K","1.89%"
"2025-9-28","46.369","46.420","48.325","45.710","410.31K","3.20%"
"2025-9-21","44.933","43.215","46.945","43.885","342.08K","6.68%"
"2025-9-14","42.118","42.725","43.435","41.480","289.35K","-0.07%"
"2025-9-7","42.149","41.465","43.040","41.145","241.35K","1.77%"
"2025-8-31","41.417","40.757","42.290","40.555","328.06K","4.32%"
"2025-8-24","39.703","39.215","40.860","38.170","224.39K","4.26%"
"2025-8-17","38.079","38.040","39.090","36.960","223.46K","0.03%"
"2025-8-10","38.069","38.540","38.780","37.515","212.91K","-0.59%"
"2025-8-3","38.294","37.090","38.875","37.325","262.99K","4.31%"
"2025-7-27","36.712","38.135","38.490","36.280","250.28K","-6.40%"
"2025-7-20","39.224","38.420","39.910","38.100","242.04K","2.40%"
"2025-7-13","38.303","39.130","38.825","37.685","200.24K","2.68%"
"2025-7-6","37.305","37.150","39.225","36.445","286.71K","0.60%"
"2025-6-29","37.084","36.150","37.435","36.055","219.84K","0.89%"
"2025-6-22","36.757","36.160","36.975","35.195","236.14K","-0.42%"
"2025-6-15","36.913","36.450","37.405","35.515","236.35K","1.70%"
"2025-6-8","36.295","36.165","36.975","35.580","278.25K","1.37%"
"2025-6-1","35.805","33.130","36.510","34.165","324.28K","7.13%"
"2025-5-25","33.423","33.618","33.745","32.800","192.86K","0.61%"
"2025-5-18","33.219","32.550","33.915","32.235","222.51K","1.65%"
"2025-5-11","32.680","32.600","33.435","31.780","181.96K","0.19%"
"2025-5-4","32.617","32.250","33.480","32.360","185.31K","0.46%"
"2025-4-27","32.469","33.205","33.835","31.860","190.22K","-3.09%"
"2025-4-20","33.503","32.440","33.690","32.050","285.67K","1.59%"
"2025-4-13","32.980","32.195","33.175","32.070","151.71K","7.22%"
"2025-4-6","30.759","29.230","32.210","29.255","346.36K","-3.79%"
"2025-3-30","31.970","34.825","35.155","29.115","398.76K","-8.41%"
"2025-3-23","34.905","33.540","35.495","33.430","238.87K","2.69%"
"2025-3-16","33.991","34.410","35.000","33.165","212.13K","-0.92%"
"2025-3-9","34.306","32.945","34.860","32.215","250.26K","2.90%"
"2025-3-2","33.338","31.715","33.380","32.030","226.91K","3.82%"
"2025-2-23","32.110","33.045","32.790","31.365","227.11K","-4.11%"
"2025-2-16","33.486","32.680","33.785","32.810","173.93K","2.32%"
"2025-2-9","32.726","32.180","34.240","31.650","297.08K","0.31%"
"2025-2-2","32.626","32.460","33.215","32.150","263.30K","0.41%"
"2025-1-26","32.493","30.615","32.920","30.235","233.46K","5.80%"
"2025-1-19","30.712","31.085","31.710","30.465","157.65K","-3.19%"
"2025-1-12","31.725","31.305","31.985","30.115","190.55K","2.29%"
"2025-1-5","31.015","30.095","31.840","30.410","197.40K","3.73%"
"2024-12-29","29.900","29.980","30.380","29.200","60.21K","-1.10%"
"2024-12-22","30.234","30.040","30.465","29.890","46.42K","3.25%"
"2024-12-15","29.282","30.880","31.110","29.145","214.66K","-6.99%"
"2024-12-8","31.482","31.460","33.330","30.755","295.53K","0.24%"
"2024-12-1","31.406","30.785","32.070","30.920","242.42K","3.12%"
"2024-11-24","30.455","31.700","31.375","30.025","185.74K","-2.07%"
"2024-11-17","31.099","30.530","31.615","30.715","242.22K","1.22%"
"2024-11-10","30.724","31.575","31.255","29.750","278.44K","-4.03%"
"2024-11-3","32.013","32.720","33.055","30.940","326.69K","-2.85%"
"2024-10-27","32.953","33.830","34.725","32.460","312.12K","-2.49%"
"2024-10-20","33.795","33.900","35.070","33.260","335.97K","6.36%"
"2024-10-13","31.774","31.730","33.970","30.950","270.15K","1.71%"
"2024-10-6","31.240","32.450","32.020","30.345","248.37K","-3.77%"
"2024-9-29","32.464","31.945","33.225","31.260","275.87K","0.84%"
"2024-9-22","32.195","30.915","33.020","30.960","370.03K","2.92%"
"2024-9-15","31.281","31.100","31.755","30.035","287.00K","4.38%"
"2024-9-8","29.967","27.960","31.280","28.360","281.34K","3.48%"
"2024-9-1","28.960","29.188","29.550","28.010","291.71K","-2.91%"
"2024-8-25","29.827","30.030","30.110","29.080","223.40K","2.20%"
"2024-8-18","29.185","29.220","30.035","28.795","276.24K","2.23%"
"2024-8-11","28.548","27.630","29.095","27.230","272.92K","2.94%"
"2024-8-4","27.733","28.720","27.840","26.505","262.29K","-3.06%"
"2024-7-28","28.607","28.060","29.355","27.765","295.62K","2.26%"
"2024-7-21","27.975","29.425","29.630","27.555","288.00K","-7.44%"
"2024-7-14","30.224","31.100","31.655","29.060","317.86K","-4.57%"
"2024-7-7","31.671","31.475","32.015","30.620","257.92K","2.69%"
"2024-6-30","30.842","29.445","31.790","29.490","227.73K","5.42%"
"2024-6-23","29.256","29.750","29.955","28.580","248.27K","-5.57%"
"2024-6-16","30.981","29.710","30.905","28.985","307.04K","6.04%"
"2024-6-9","29.216","29.455","30.355","28.730","388.93K","-7.34%"
"2024-6-2","31.532","30.765","31.670","29.220","414.88K","-0.47%"
"2024-5-26","31.680","30.545","32.515","30.345","440.58K","4.02%"
"2024-5-19","30.455","31.850","32.720","30.235","368.18K","1.94%"
"2024-5-12","29.876","28.420","31.850","28.310","412.29K","5.33%"
"2024-5-5","28.365","26.810","29.000","27.240","255.59K","5.73%"
"2024-4-28","26.829","27.500","27.455","26.255","281.68K","-2.45%"
"2024-4-21","27.502","28.780","27.745","26.715","329.75K","-3.61%"
"2024-4-14","28.532","28.380","29.100","28.030","371.16K","0.46%"
"2024-4-7","28.401","27.435","29.905","27.640","564.15K","3.71%"
"2024-3-31","27.385","25.360","27.615","25.195","499.76K","10.07%"
"2024-3-24","24.879","24.850","25.130","24.445","201.50K","-0.51%"
"2024-3-17","25.007","25.400","25.975","24.580","279.55K","-0.21%"
"2024-3-10","25.060","24.580","25.660","24.220","305.37K","1.96%"
"2024-3-3","24.578","23.370","24.860","23.785","352.55K","7.40%"
"2024-2-25","22.885","23.030","23.485","22.405","210.47K","-0.06%"
"2024-2-18","22.899","23.473","23.510","22.580","271.01K","-0.70%"
"2024-2-11","23.061","22.995","23.560","21.975","347.65K","1.37%"
"2024-2-4","22.749","22.770","22.795","22.195","219.87K","-2.56%"
"2024-1-28","23.347","22.920","23.445","22.485","295.46K","1.83%"
"2024-1-21","22.927","22.745","23.155","22.165","228.81K","0.53%"
"2024-1-14","22.807","23.350","23.500","22.520","201.26K","0.45%"
"2024-1-7","22.705","23.380","23.720","22.630","241.07K","-2.08%"
"2023-12-31","23.187","24.027","24.335","22.880","249.32K","-4.86%"
"2023-12-24","24.372","24.475","24.740","23.760","153.90K","-0.39%"
"2023-12-17","24.468","23.980","24.895","24.040","179.96K","0.80%"
"2023-12-10","24.273","23.225","24.590","22.785","291.64K","1.38%"
"2023-12-3","23.942","26.050","25.020","23.245","280.93K","-6.26%"
"2023-11-26","25.541","24.510","25.940","24.585","248.65K","7.28%"
"2023-11-19","23.808","23.835","24.395","23.470","186.31K","-1.02%"
"2023-11-12","24.053","22.500","24.220","22.150","286.25K","4.47%"
"2023-11-5","23.023","23.395","23.170","22.230","284.21K","0.23%"
"2023-10-29","22.971","23.325","23.465","22.645","231.55K","0.28%"
"2023-10-22","22.908","23.505","23.350","22.565","208.99K","-0.53%"
"2023-10-15","23.031","22.910","23.880","22.535","256.29K","4.88%"
"2023-10-8","21.959","21.940","22.990","21.775","216.35K","4.47%"
"2023-10-1","21.019","22.410","21.780","20.850","293.32K","-7.57%"
"2023-9-24","22.741","23.695","23.805","22.325","299.32K","-3.57%"
"2023-9-17","23.582","23.220","24.050","23.060","225.70K","2.97%"
"2023-9-10","22.902","23.280","23.585","22.555","242.65K","-1.00%"
"2023-9-3","23.134","24.540","24.655","23.130","262.30K","-6.31%"
"2023-8-27","24.692","24.410","25.425","24.205","228.66K","1.43%"
"2023-8-20","24.343","22.840","24.440","23.265","268.80K","6.67%"
"2023-8-13","22.821","22.725","23.070","22.265","229.23K","-0.47%"
"2023-8-6","22.929","23.760","23.255","22.610","280.49K","-3.72%"
"2023-7-30","23.816","24.585","24.905","23.275","248.44K","-2.26%"
"2023-7-23","24.367","24.790","25.325","24.180","228.41K","-2.38%"
"2023-7-16","24.962","25.155","25.475","24.765","199.95K","0.05%"
"2023-7-9","24.949","23.340","25.255","23.220","280.71K","9.00%"
"2023-7-2","22.890","22.995","23.535","22.720","191.86K","0.40%"
"2023-6-25","22.798","22.550","23.150","22.485","183.89K","1.02%"
"2023-6-18","22.567","24.235","24.260","22.140","299.80K","-6.14%"
"2023-6-11","24.044","24.290","24.520","23.270","288.00K","-1.68%"
"2023-6-4","24.455","23.870","24.620","23.410","265.45K","1.49%"
"2023-5-28","24.096","23.430","24.120","23.030","294.77K","5.18%"
"2023-5-21","22.910","24.020","23.810","22.785","236.05K","-3.06%"
"2023-5-14","23.633","24.100","24.275","23.485","216.03K","-3.24%"
"2023-5-7","24.424","25.945","26.200","23.910","303.19K","-6.87%"
"2023-4-30","26.227","25.460","26.435","24.820","256.27K","4.04%"
"2023-4-23","25.209","25.280","25.435","24.530","253.99K","-1.06%"
"2023-4-16","25.478","25.470","25.585","24.715","249.33K","-2.14%"
"2023-4-9","26.035","25.100","26.235","24.970","313.81K","3.55%"
"2023-4-2","25.143","24.050","25.295","23.970","196.72K","4.43%"
"2023-3-26","24.076","23.485","24.310","22.960","211.53K","3.53%"
"2023-3-19","23.256","22.710","23.705","22.290","227.81K","7.21%"
"2023-3-12","21.692","20.720","22.765","21.465","290.56K","7.57%"
"2023-3-5","20.165","21.385","21.215","19.945","251.29K","-3.52%"
"2023-2-26","20.901","20.915","21.385","20.505","218.07K","-2.22%"
"2023-2-19","21.376","21.753","22.000","20.725","244.76K","-1.99%"
"2023-2-12","21.810","22.020","22.040","21.155","253.55K","-1.94%"
"2023-2-5","22.241","22.655","22.615","21.830","265.30K","-6.22%"
"2023-1-29","23.715","23.905","24.750","22.325","354.67K","-1.27%"
"2023-1-22","24.020","24.055","24.415","23.310","259.02K","0.63%"
"2023-1-15","23.870","24.422","24.670","23.270","291.64K","-0.56%"
"2023-1-8","24.004","24.025","24.445","23.340","232.88K","2.48%"
"2023-1-1","23.424","24.177","24.775","23.260","247.78K","-3.41%"
"2022-12-25","24.250","24.008","24.495","23.645","157.30K","2.92%"
"2022-12-18","23.561","23.305","24.525","23.050","187.05K","1.43%"
"2022-12-11","23.229","23.435","24.390","22.735","238.98K","0.31%"
"2022-12-4","23.157","23.310","23.900","22.190","199.71K","1.63%"
"2022-11-27","22.786","21.520","23.475","21.060","258.82K","6.30%"
"2022-11-20","21.436","21.110","21.730","20.860","161.02K","1.81%"
"2022-11-13","21.054","21.735","22.380","20.785","280.02K","-3.30%"
"2022-11-6","21.772","20.650","22.160","20.570","347.28K","11.74%"
"2022-10-30","19.485","19.010","20.965","18.805","325.95K","-0.05%"
"2022-10-23","19.494","19.395","19.765","18.740","219.93K","4.31%"
"2022-10-16","18.689","18.160","19.405","18.150","219.11K","-1.21%"
"2022-10-9","18.918","20.185","19.725","18.010","260.53K","-8.43%"
"2022-10-2","20.660","18.995","21.310","19.985","263.36K","10.41%"
"2022-9-25","18.712","18.525","19.300","17.895","260.00K","-4.47%"
"2022-9-18","19.587","19.555","19.960","18.760","258.89K","1.87%"
"2022-9-11","19.227","18.810","19.930","18.770","232.67K","4.48%"
"2022-9-4","18.402","17.845","18.860","17.740","146.69K","4.37%"
"2022-8-28","17.632","18.750","18.700","17.400","251.38K","-7.91%"
"2022-8-21","19.147","19.050","19.345","18.650","195.13K","-1.85%"
"2022-8-14","19.508","20.810","20.250","18.925","193.23K","-4.34%"
"2022-8-7","20.394","19.825","20.850","20.190","221.99K","1.10%"
"2022-7-31","20.173","20.500","20.495","19.470","223.76K","1.28%"
