"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-17","75.5150","75.7930","79.1641","73.0810","","-0.61%"
"2026-5-10","75.9772","79.4965","89.3881","75.7247","","-5.44%"
"2026-5-3","80.3474","75.5113","82.2200","72.2150","","6.62%"
"2026-4-26","75.3610","75.6124","76.9744","70.8596","","-0.45%"
"2026-4-19","75.6988","80.8150","80.8150","73.9235","","-6.33%"
"2026-4-12","80.8103","75.7679","83.0686","72.6010","","6.47%"
"2026-4-5","75.9014","72.5896","77.8150","69.8035","","3.95%"
"2026-3-29","73.0150","69.7900","76.1550","67.6683","","4.63%"
"2026-3-22","69.7850","67.7900","74.6550","60.9700","","2.95%"
"2026-3-15","67.7881","80.5800","82.5548","65.5050","","-15.87%"
"2026-3-8","80.5764","84.4365","90.0260","79.4291","","-4.50%"
"2026-3-1","84.3717","95.5098","96.4400","77.9485","","-10.09%"
"2026-2-22","93.8431","84.6500","94.1950","84.5888","","10.87%"
"2026-2-15","84.6450","77.9607","84.7119","71.9650","","9.31%"
"2026-2-8","77.4345","78.3795","86.3313","73.9550","","-0.75%"
"2026-2-1","78.0169","81.8845","92.2311","64.0571","","-7.89%"
"2026-1-25","84.7040","104.3867","121.6700","73.7850","","-17.74%"
"2026-1-18","102.9727","91.0785","103.0335","90.3638","","14.47%"
"2026-1-11","89.9544","80.4298","93.6138","79.9649","","12.48%"
"2026-1-4","79.9724","73.7428","82.7738","72.9152","","10.06%"
"2025-12-28","72.6600","80.2250","83.6450","70.0604","","-8.21%"
"2025-12-21","79.1609","67.3860","79.3274","67.2976","","17.86%"
"2025-12-14","67.1663","61.5650","67.4750","60.5450","","8.30%"
"2025-12-7","62.0194","58.3353","64.6699","57.5599","","6.39%"
"2025-11-30","58.2951","56.3523","59.3474","56.1809","","3.35%"
"2025-11-23","56.4050","50.0350","56.5509","49.7109","","12.73%"
"2025-11-16","50.0365","50.5650","52.5050","48.6281","","-1.04%"
"2025-11-9","50.5600","48.3350","54.4050","48.3187","","4.60%"
"2025-11-2","48.3383","48.6620","49.1450","46.8700","","-0.69%"
"2025-10-26","48.6750","48.5250","49.4100","45.5431","","0.13%"
"2025-10-19","48.6125","51.8854","52.8000","47.5231","","-6.35%"
"2025-10-12","51.9087","50.3491","54.4962","49.7974","","3.21%"
"2025-10-5","50.2950","48.0800","51.2403","47.3157","","4.79%"
"2025-9-28","47.9975","46.1250","48.3822","45.8002","","4.28%"
"2025-9-21","46.0262","43.1200","46.6550","43.0178","","6.78%"
"2025-9-14","43.1050","42.2050","43.1229","41.1210","","2.16%"
"2025-9-7","42.1950","41.0050","42.4950","40.5132","","2.90%"
"2025-8-31","41.0050","39.7050","41.4850","39.5160","","3.30%"
"2025-8-24","39.6950","38.9319","40.0050","38.0774","","2.18%"
"2025-8-17","38.8475","38.0350","39.0950","36.9556","","2.19%"
"2025-8-10","38.0150","38.3800","38.7571","37.4883","","-0.87%"
"2025-8-3","38.3500","37.0450","38.5337","36.6674","","3.52%"
"2025-7-27","37.0450","38.0800","38.3550","36.2119","","-2.95%"
"2025-7-20","38.1700","38.1450","39.5452","37.9468","","-0.07%"
"2025-7-13","38.1950","38.4239","39.1750","37.4944","","-0.47%"
"2025-7-6","38.3751","36.9547","38.5550","36.1534","","3.90%"
"2025-6-29","36.9350","35.9749","37.1150","35.4090","","2.58%"
"2025-6-22","36.0050","36.0551","36.8550","35.2790","","-0.01%"
"2025-6-15","36.0070","36.3400","37.3350","35.5050","","-0.85%"
"2025-6-8","36.3150","36.0200","36.9150","35.4559","","0.93%"
"2025-6-1","35.9800","33.0397","36.3491","32.9515","","9.05%"
"2025-5-25","32.9950","33.4800","33.5850","32.6994","","-1.52%"
"2025-5-18","33.5050","32.2900","33.7250","32.1163","","3.78%"
"2025-5-11","32.2850","32.3765","33.2507","31.6397","","-1.34%"
"2025-5-4","32.7227","32.0571","33.2850","31.9390","","2.24%"
"2025-4-27","32.0050","33.0900","33.5550","31.6586","","-3.32%"
"2025-4-20","33.1050","32.6025","33.7160","32.0917","","1.50%"
"2025-4-13","32.6150","32.3300","33.1200","31.7339","","1.04%"
"2025-4-6","32.2790","29.5850","32.3157","28.1583","","9.22%"
"2025-3-30","29.5550","34.1538","34.5050","29.1900","","-13.35%"
"2025-3-23","34.1100","33.0550","34.5999","32.8790","","3.25%"
"2025-3-16","33.0350","33.8827","34.2470","32.6585","","-2.21%"
"2025-3-9","33.7800","32.5350","34.1050","31.8050","","3.85%"
"2025-3-2","32.5274","31.1519","32.7850","31.1143","","4.41%"
"2025-2-23","31.1524","32.4905","32.7950","30.8064","","-4.26%"
"2025-2-16","32.5377","32.1625","33.2450","31.9082","","1.25%"
"2025-2-9","32.1367","31.8178","33.4350","31.2340","","1.01%"
